,0
0,3.968698e-10
1,-3.6224934e-10
2,2.0824427e-10
3,1.1767294e-10
4,-6.6556377e-10
5,1.4719699e-09
6,-2.5461204e-09
7,3.8547596e-09
8,-5.3077054e-09
9,6.746894e-09
10,-7.94202e-09
11,8.595861e-09
12,-8.36181e-09
13,6.8750508e-09
14,-3.797198e-09
15,-1.1278026e-09
16,8.010866e-09
17,-1.6754448e-08
18,2.6996744e-08
19,-3.8072187e-08
20,4.8996885e-08
21,-5.8486183e-08
22,6.50089e-08
23,-6.6879174e-08
24,6.2382526e-08
25,-4.9927955e-08
26,2.8213973e-08
27,3.607147e-09
28,-4.578431e-08
29,9.7859086e-08
30,-1.5860904e-07
31,2.2605417e-07
32,-2.9753178e-07
33,3.6983855e-07
34,-4.3943098e-07
35,5.0266925e-07
36,-5.560835e-07
37,5.9663864e-07
38,-6.2197347e-07
39,-6.998805e-06
40,-6.2197347e-07
41,5.9663864e-07
42,-5.560835e-07
43,5.0266925e-07
44,-4.3943098e-07
45,3.6983855e-07
46,-2.9753178e-07
47,2.2605417e-07
48,-1.5860904e-07
49,9.7859086e-08
50,-4.578431e-08
51,3.607147e-09
52,2.8213973e-08
53,-4.9927955e-08
54,6.2382526e-08
55,-6.6879174e-08
56,6.50089e-08
57,-5.8486183e-08
58,4.8996885e-08
59,-3.8072187e-08
60,2.6996744e-08
61,-1.6754448e-08
62,8.010866e-09
63,-1.1278026e-09
64,-3.797198e-09
65,6.8750508e-09
66,-8.36181e-09
67,8.595861e-09
68,-7.94202e-09
69,6.746894e-09
70,-5.3077054e-09
71,3.8547596e-09
72,-2.5461204e-09
73,1.4719699e-09
74,-6.6556377e-10
75,1.1767294e-10
76,2.0824427e-10
77,-3.6224934e-10
78,3.968698e-10
79,-3.5939765e-10
80,2.87522e-10
81,-2.0782098e-10
82,1.3637586e-10
83,-8.069293e-11
84,4.2184513e-11
85,-1.862215e-11
86,6.179228e-12
87,-8.804737e-13
88,-5.5823776e-13
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,-5.5823776e-13
105,-8.804737e-13
106,6.179228e-12
107,-1.862215e-11
108,4.2184513e-11
109,-8.069293e-11
110,1.3637586e-10
111,-2.0782098e-10
112,2.87522e-10
113,-3.5939765e-10
